size,Triton,Torch
1024.000000,2.400000,2.400000
2048.000000,4.800000,4.000000
4096.000000,8.000000,8.000000
8192.000000,13.714286,15.999999
16384.000000,27.428571,27.428571
32768.000000,54.734968,54.857142
65536.000000,96.000000,96.000000
131072.000000,139.636363,139.636363
262144.000000,139.636363,133.565214
524288.000000,149.853661,186.181817
1048576.000000,189.046153,189.046153
2097152.000000,198.193551,204.746685
4194304.000000,211.406456,212.319653
8388608.000000,221.905193,222.407245
16777216.000000,227.030019,225.986210
33554432.000000,229.615182,230.490042
67108864.000000,247.111380,232.053228
134217728.000000,245.491489,232.620583
